fsqID,venueName,formattedAddress,catID,catName,catIDGroup,distance,rating,totalRatings,totalPhotos,totalTips,popularity,price,storeVerified,stationIndex
4bf3009298ac0f47ad6262a8,Damburger,"1320 Placer St, Redding, CA 96001",13031,Burger Joint,Dining and Drinking,122,7.2,27.0,8.0,10.0,0.962265577737447,1.0,True,1
4bfd76e4bf6576b08551adb8,Wienerschnitzel,"1120 Market St, Redding, CA 96001",13058,Hot Dog Joint,Dining and Drinking,563,7.6,12.0,44.0,1.0,0.9872202056866304,1.0,False,1
4c8ba29052a98cfa7caf37e9,Heavenly Donuts,"1313 Shasta St, Redding, CA 96001",13001,Bagel Shop,Dining and Drinking,324,6.9,10.0,19.0,2.0,0.9730792498487598,1.0,False,1
5839cf23424f9379715e5abb,Final Draft Brewi,"1600 California St, Redding, CA 96001",13003,Bar,Dining and Drinking,177,6.7,16.0,56.0,6.0,0.9734573502722323,2.0,True,1
4b70bed9f964a520b32c2de3,Jack's Grill,"1743 California St (at Placer St), Redding, CA 96001",13383,Steakhouse,Dining and Drinking,240,6.7,24.0,10.0,8.0,0.9461584996975196,4.0,False,1
4c4de42cdb2c20a1629d9273,Thai Cafe,"820 Butte St, Redding, CA 96001",13352,Thai Restaurant,Dining and Drinking,695,7.0,15.0,10.0,7.0,0.940260133091349,2.0,False,1
4ed18ea329c223f92a522f3a,The Grape Escape,"1747 Market St, Redding, CA 96001",10039,Music Venue,Arts and Entertainment,51,,,,,0.8840744101633394,2.0,False,1
5dba05a6db21db00086bd90f,Westside Wines & Hops,"1321 Butte St, Redding, CA 96001",13006,Beer Bar,Dining and Drinking,104,,,,,0.9016938898971567,2.0,False,1
4c43c3bf2d3ec9b61d0f2eae,Subway,"1950 Eureka Way, Redding, CA 96001",13039,Deli,Dining and Drinking,830,6.3,5.0,5.0,1.0,0.9683151845130067,1.0,False,1
4c2a899d8ef52d7fa10e30ba,Carl's Jr.,"1800 Eureka Way, Redding, CA 96001",13145,Fast Food Restaurant,Dining and Drinking,698,6.2,2.0,13.0,0.0,0.9764821536600121,1.0,True,1
5d24e2d44dcbca002fc6c660,Cedar Crest Brewing,"1475 Placer St, Redding, CA 96001",13006,Beer Bar,Dining and Drinking,181,,,,,0.9491833030852994,2.0,False,1
5cba77b2234724002b3959ee,The Park Food Truck Hub,"1552 Placer St, Redding, CA 96001",13065,Restaurant,Dining and Drinking,182,,,,,0.897005444646098,1.0,False,1
5f70ff3b99b067634136954c,Fusion Lounge,"1545 Placer St, Redding, CA 96001",13000,Dining and Drinking,Dining and Drinking,226,,,,,0.9367816091954023,,False,1
562ec74f498eb100b82ff216,The Dip,"1730 California St (Placer), Redding, CA 96001",10003,Arcade,Arts and Entertainment,230,,,,,0.9566696914700544,2.0,True,1
4b75c0d6f964a5201d222ee3,Carnegies,"1600 Oregon St, Redding, CA 96001",13068,American Restaurant,Dining and Drinking,351,,,,,0.9730036297640653,1.0,False,1
5e35b39d927f370008489acd,Roots Juice Bar,"1950 Pine St, Redding, CA 96001",13000,Dining and Drinking,Dining and Drinking,406,,,,,0.9633998790078645,1.0,False,1
58b9c69fd772f97a40339388,Caffé Pagato,"1031 Butte St, Redding, CA 96001",13034,Café,Dining and Drinking,412,,,,,0.9754990925589837,1.0,False,1
65a9c9ede0724622a03573df,Pourboys Tapyard,"2040 Waldon St, Redding, CA 96001",13006,Beer Bar,Dining and Drinking,547,,,,,0.9594676346037507,,False,1
e0cc2da09c054ca134a7a380,Pasta Pronto,"2151 Market St, Redding, CA 96001",13064,Pizzeria,Dining and Drinking,651,,,,,0.46400483968542044,1.0,False,1
810968fcd2744594580e354f,Krispy Krunchy Chicken,"1905 Eureka Way, Redding, CA 96001",13145,Fast Food Restaurant,Dining and Drinking,760,,,,,0.04688445251058681,1.0,False,1
505d17e7e4b04d802adf880c,Fish Viewing Facility,"Redding, CA 96003",16043,River,Landmarks and Outdoors,796,,,,,0.691318814277072,,False,1
4b89b364f964a5200a4c32e3,Burger King,"2055 Eureka Way, Redding, CA 96001",13031,Burger Joint,Dining and Drinking,927,5.6,6.0,17.0,1.0,0.9757259528130672,1.0,True,1
