station,venueCount,distance,rating,totalRatings,price
0,43,523.9704922801974,4.618604651162791,177.91860465116278,1.802325581395349
1,46,354.96081924918224,4.741304347826087,166.4891304347826,1.7717391304347827
2,46,348.26277205299493,4.741304347826087,166.4891304347826,1.7717391304347827
3,4,960.983836845006,4.7125,112.875,1.0
4,13,630.7526962690292,4.569230769230769,116.57692307692308,1.6153846153846154
5,43,595.510781405482,4.698837209302326,161.1860465116279,1.7790697674418605
6,20,743.7837558606973,4.89,145.65,1.925
7,44,395.9182589755761,4.640909090909091,173.64772727272728,1.7840909090909092
8,44,566.6340769817299,4.696590909090909,176.36363636363637,1.7840909090909092
9,35,704.5966873255264,4.712857142857143,164.0142857142857,1.8285714285714285
10,44,438.59441179782857,4.7250000000000005,173.64772727272728,1.8068181818181819
11,45,498.1850648151629,4.721111111111111,157.64444444444445,1.7666666666666666
12,4,696.344701602438,5.525,248.25,1.5
13,46,380.8057193142439,4.733695652173913,165.67391304347825,1.7717391304347827
14,46,348.81837732031914,4.698913043478261,166.80434782608697,1.7717391304347827
15,44,396.29786420892214,4.694318181818182,176.38636363636363,1.7613636363636365
16,42,474.3854205919642,4.767857142857143,179.38095238095238,1.7738095238095237
17,45,461.8560919872912,4.716666666666667,174.73333333333332,1.7444444444444445
18,26,831.9271992939234,4.93076923076923,192.59615384615384,1.9423076923076923
19,39,664.5376367260834,4.762820512820513,174.52564102564102,1.8076923076923077
20,46,361.1701210213935,4.741304347826087,166.4891304347826,1.7717391304347827
21,44,571.3943509862548,4.572727272727272,193.7159090909091,1.8295454545454546
